pathway,frequency_hz,pulse_number,response_mean_percent,response_sem_percent,n_trials,cv
MD,10.0,9,12.406060697840822,0.43375002474376323,30,0.2
MD,10.0,10,11.146984480387195,0.40221110975293956,30,0.2
PD,10.0,1,100.0,0.0,30,0.2
PD,10.0,2,77.87218635769123,2.6896625906991534,30,0.2
PD,10.0,3,61.213277799303064,1.5427979130533838,30,0.2
PD,10.0,4,52.52695050290329,1.149351946453218,30,0.2
PD,10.0,5,47.96409011081288,1.0725557628455342,30,0.2
PD,10.0,6,45.548229617970996,1.0862212242389715,30,0.2
PD,10.0,7,44.25861634985295,1.1148940586871134,30,0.2
PD,10.0,8,43.564310878477194,1.1399766583831028,30,0.2
PD,10.0,9,43.1871592821428,1.1585448555587086,30,0.2
PD,10.0,10,42.980365249966276,1.171443328466715,30,0.2
DD,20.0,1,100.0,0.0,30,0.2
DD,20.0,2,129.77733303366415,2.6102050907161045,30,0.2
DD,20.0,3,120.75815600134719,2.383065573539794,30,0.2
DD,20.0,4,104.57891433567497,1.9331487013512083,30,0.2
DD,20.0,5,92.32927456084937,1.898647690821741,30,0.2
DD,20.0,6,84.90043367742315,2.0218697624688797,30,0.2
DD,20.0,7,80.77626500899882,2.1405165036549025,30,0.2
DD,20.0,8,78.567492041434,2.22431250451533,30,0.2
DD,20.0,9,77.39818948465803,2.2779354908751905,30,0.2
DD,20.0,10,76.77907520362889,2.310692623216837,30,0.2
MD,20.0,1,100.0,0.0,30,0.2
MD,20.0,2,77.89882637805174,2.3714912907967625,30,0.2
MD,20.0,3,52.50939287616094,0.9789712853862603,30,0.2
MD,20.0,4,35.583823797726076,0.19401266261278705,30,0.2
MD,20.0,5,24.712819332943173,0.29307938006701123,30,0.2
MD,20.0,6,17.702565974729072,0.4149085089676586,30,0.2
MD,20.0,7,13.146945079650738,0.4301077829134196,30,0.2
MD,20.0,8,10.162903984132033,0.396926598493722,30,0.2
MD,20.0,9,8.192992941670848,0.3476919706838684,30,0.2
MD,20.0,10,6.882648352365348,0.29817215088109006,30,0.2
PD,20.0,1,100.0,0.0,30,0.2
PD,20.0,2,74.91910423042258,2.1245107816061988,30,0.2
PD,20.0,3,55.32321811428541,1.0577685131038046,30,0.2
PD,20.0,4,43.770318586487726,0.6088295037055017,30,0.2
PD,20.0,5,37.024262466430585,0.5422492890550678,30,0.2
PD,20.0,6,33.06079501170457,0.5751815512988389,30,0.2
PD,20.0,7,30.715817427855168,0.6139227478395565,30,0.2
PD,20.0,8,29.31873800098417,0.6452691677718173,30,0.2
PD,20.0,9,28.48069400429924,0.6692406272051757,30,0.2
PD,20.0,10,27.97462990456036,0.6871490111723391,30,0.2
