decay_time,DD_freq,MD_freq,PD_freq,mean_freq,interaction_coefficient,interaction_sem,individual_sum,integrated_response,trace_data
0,5,5,5,5.0,0.0,0.0,5.4527628482550705,5.4527628482550705,
0,10,10,10,10.0,0.0,0.0,5.048898970649665,5.048898970649665,
0,15,15,15,15.0,0.0,0.0,4.772847538968416,4.772847538968416,
0,20,20,20,20.0,0.0,0.0,4.544883738157931,4.544883738157931,
0,25,25,25,25.0,0.0,0.0,4.40293738243882,4.40293738243882,
0,30,30,30,30.0,0.0,0.0,4.282200097844255,4.282200097844255,
0,35,35,35,35.0,0.0,0.0,4.177596574946545,4.177596574946545,
0,40,40,40,40.0,0.0,0.0,4.086645308086316,4.086645308086316,
5,5,5,5,5.0,-0.019886726358503012,6.442601250303682e-19,5.4527628482550705,5.344325245594009,
5,10,10,10,10.0,-0.019631830826462294,1.2885202500607364e-18,5.048898970649665,4.949779840197972,
5,15,15,15,15.0,-0.020179653971979152,6.442601250303682e-19,4.772847538968416,4.676533127171018,
5,20,20,20,20.0,-0.0209363375378352,6.442601250303682e-19,4.544883738157931,4.449730518145638,
5,25,25,25,25.0,-0.02147591653292501,6.442601250303682e-19,4.40293738243882,4.308380266713868,
5,30,30,30,30.0,-0.021995312100316834,1.2885202500607364e-18,4.282200097844255,4.188011770216163,
5,35,35,35,35.0,-0.022482671536655195,1.2885202500607364e-18,4.177596574946545,4.083673043339364,
5,40,40,40,40.0,-0.023976551554198443,1.2885202500607364e-18,4.086645308086316,3.98866164617326,
10,5,5,5,5.0,-0.019886726358503012,6.442601250303682e-19,5.4527628482550705,5.344325245594009,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.29317851600322836)), (200.0, 'DD', np.float64(0.21453359813552703)), (200.0, 'MD', np.float64(0.19500469945830987)), (200.0, 'PD', np.float64(0.24280272943848796)), (400.0, 'DD', np.float64(0.20908217267494356)), (400.0, 'MD', np.float64(0.14316655487035965)), (400.0, 'PD', np.float64(0.22095112591716987)), (600.0, 'DD', np.float64(0.20561723346522934)), (600.0, 'MD', np.float64(0.10866580682855637)), (600.0, 'PD', np.float64(0.21207522901108905)), (800.0, 'DD', np.float64(0.2041801456804561)), (800.0, 'MD', np.float64(0.08570394212254237)), (800.0, 'PD', np.float64(0.20848111306995243)), (1000.0, 'DD', np.float64(0.203648837194877)), (1000.0, 'MD', np.float64(0.07042174505541753)), (1000.0, 'PD', np.float64(0.20702413920475787)), (1200.0, 'DD', np.float64(0.20346129801314575)), (1200.0, 'MD', np.float64(0.06025072670875774)), (1200.0, 'PD', np.float64(0.2064327775224856)), (1400.0, 'DD', np.float64(0.20339651620098592)), (1400.0, 'MD', np.float64(0.05348143733539719)), (1400.0, 'PD', np.float64(0.20619253273642654)), (1600.0, 'DD', np.float64(0.20337437759134577)), (1600.0, 'MD', np.float64(0.04897615801542229)), (1600.0, 'PD', np.float64(0.20609487055270548)), (1800.0, 'DD', np.float64(0.20336685337988508)), (1800.0, 'MD', np.float64(0.04597768348855815)), (1800.0, 'PD', np.float64(0.20605515319071732))]"
