pattern_name,individual_responses,individual_sum,integrated_response,interaction_coefficient,interaction_sem,total_stimuli
Regular_5Hz,"{'DD': np.float64(3.0980658833327426), 'MD': np.float64(1.310995775413063), 'PD': np.float64(2.8542202799020506)}",7.2632819386478555,7.283996829462092,0.002852001476634154,0.013681998785816114,45
Regular_10Hz,"{'DD': np.float64(3.0980658833327426), 'MD': np.float64(1.310995775413063), 'PD': np.float64(2.8542202799020506)}",7.2632819386478555,6.936415728944576,-0.045002550150783756,0.015388155792810783,45
Regular_15Hz,"{'DD': np.float64(3.0980658833327426), 'MD': np.float64(1.310995775413063), 'PD': np.float64(2.8542202799020506)}",7.2632819386478555,7.266471505454031,0.0004391357561381689,0.014791956557616436,45
Regular_20Hz,"{'DD': np.float64(3.0980658833327426), 'MD': np.float64(1.310995775413063), 'PD': np.float64(2.8542202799020506)}",7.2632819386478555,7.487440116971543,0.030861830811074752,0.012946126682061444,45
Regular_30Hz,"{'DD': np.float64(3.0980658833327426), 'MD': np.float64(1.310995775413063), 'PD': np.float64(2.8542202799020506)}",7.2632819386478555,7.3490171732985825,0.011803924916438698,0.014863922487999694,45
Burst_Theta,"{'DD': np.float64(6.754668253168301), 'MD': np.float64(1.4309228949119182), 'PD': np.float64(7.808161611229202)}",15.993752759309423,16.412717289668244,0.026195511251413568,0.017737677311076634,180
Burst_Gamma,"{'DD': np.float64(2.22203302701557), 'MD': np.float64(1.0780801232304829), 'PD': np.float64(2.6178564409683127)}",5.917969591214364,5.905620058669743,-0.0020867854006811674,0.012635118636511788,150
Poisson_10Hz,"{'DD': np.float64(4.165007871745758), 'MD': np.float64(1.3047493670911925), 'PD': np.float64(2.7431926729295375)}",8.212949911766488,8.312261097569282,0.012092023800183236,0.013065305744668817,61
Poisson_20Hz,"{'DD': np.float64(5.976580360718655), 'MD': np.float64(1.4110695985002486), 'PD': np.float64(3.7958008627031017)}",11.183450821922005,11.451818879910572,0.023996891680563175,0.01853196434578097,119
Poisson_30Hz,"{'DD': np.float64(6.892787911992053), 'MD': np.float64(1.462460586792991), 'PD': np.float64(7.281961568752586)}",15.63721006753763,15.574966641106077,-0.003980468776892963,0.010508678752282053,171
Theta_Modulated,"{'DD': np.float64(2.6755914816581186), 'MD': np.float64(1.2493331650185646), 'PD': np.float64(2.688544976364222)}",6.613469623040905,6.526475249158606,-0.013154120127688488,0.01850493100818317,40
Mixed_Pattern,"{'DD': np.float64(3.0980658833327426), 'MD': np.float64(1.4309228949119182), 'PD': np.float64(3.2281427545320205)}",7.757131532776687,7.8555863336800495,0.012692165974929986,0.016477926733682542,103
