frequencies,n_pulses,individual_responses,integrated_response,interaction_coefficient,interaction_sem,resource_utilization,condition_name,mean_frequency,frequency_spread
"[20, 10, 5]",10,"{'DD': np.float64(1.9106299817543022), 'MD': np.float64(1.0784134969359882), 'PD': np.float64(2.2485370960359305)}",5.247282574035844,0.0063120611824166615,0.017840535187381913,"{'DD': np.float64(0.6456563341466826), 'MD': np.float64(0.9028863561302783), 'PD': np.float64(0.36941506939763974)}",Sweep_DD20_MD10_PD5,11.666666666666666,15
"[20, 10, 10]",10,"{'DD': np.float64(1.9346485672290599), 'MD': np.float64(1.0870746427555529), 'PD': np.float64(1.7502067062785245)}",4.731098500406376,-0.005254784343842346,0.014057624162398601,"{'DD': np.float64(0.6253328634065831), 'MD': np.float64(0.8914403826807542), 'PD': np.float64(0.5389702729881388)}",Sweep_DD20_MD10_PD10,13.333333333333334,10
"[20, 10, 15]",10,"{'DD': np.float64(1.8929314605380618), 'MD': np.float64(1.0766661325073599), 'PD': np.float64(1.5471565894902983)}",4.505965232371657,-0.0003237908591813991,0.013521934931253534,"{'DD': np.float64(0.6550013747033258), 'MD': np.float64(0.8913764607408308), 'PD': np.float64(0.6535386519673042)}",Sweep_DD20_MD10_PD15,15.0,10
"[20, 10, 20]",10,"{'DD': np.float64(1.8529129006774592), 'MD': np.float64(1.0802276071478354), 'PD': np.float64(1.7133326524810704)}",4.759943501894215,0.029027793780235418,0.018347523697480852,"{'DD': np.float64(0.6438559150840623), 'MD': np.float64(0.8930940942324056), 'PD': np.float64(0.4736788634049154)}",Sweep_DD20_MD10_PD20,16.666666666666668,10
"[20, 10, 30]",10,"{'DD': np.float64(1.8782386485667655), 'MD': np.float64(1.0759909423328895), 'PD': np.float64(1.6150034409022218)}",4.72374715727827,0.035767463546605066,0.014211705476303519,"{'DD': np.float64(0.6361779825551854), 'MD': np.float64(0.8996339095076217), 'PD': np.float64(0.6263845631416057)}",Sweep_DD20_MD10_PD30,20.0,20
"[20, 10, 40]",10,"{'DD': np.float64(1.8608249872477367), 'MD': np.float64(1.0736838720184314), 'PD': np.float64(1.6234170736092977)}",4.6122092954660525,0.014258309793882444,0.012450172279369237,"{'DD': np.float64(0.6583846259767274), 'MD': np.float64(0.8830992191506932), 'PD': np.float64(0.7148592124597362)}",Sweep_DD20_MD10_PD40,23.333333333333332,30
"[20, 20, 1]",10,"{'DD': np.float64(1.8305832933162272), 'MD': np.float64(1.045493537907101), 'PD': np.float64(3.11825861516971)}",5.914128403344155,-0.004688564767300308,0.025012083337164162,"{'DD': np.float64(0.6466923588109843), 'MD': np.float64(0.9307384866805978), 'PD': np.float64(0.039001594781976665)}",Sweep_DD20_MD20_PD1,13.666666666666666,19
"[20, 20, 5]",10,"{'DD': np.float64(1.8642359814616205), 'MD': np.float64(1.047100443176665), 'PD': np.float64(2.1394867311455763)}",5.119472576019421,0.020778765204974535,0.02046623201277213,"{'DD': np.float64(0.6520704780807651), 'MD': np.float64(0.9387306114904067), 'PD': np.float64(0.37989195575319457)}",Sweep_DD20_MD20_PD5,15.0,15
"[20, 20, 10]",10,"{'DD': np.float64(1.8385514551637316), 'MD': np.float64(1.0499906878937533), 'PD': np.float64(1.854135889565858)}",4.634262870855068,-0.020610554415247964,0.013543664771158285,"{'DD': np.float64(0.6452543890214046), 'MD': np.float64(0.9352697632397007), 'PD': np.float64(0.5545402815908103)}",Sweep_DD20_MD20_PD10,16.666666666666668,10
"[20, 20, 15]",10,"{'DD': np.float64(1.870525125006003), 'MD': np.float64(1.0300106567574534), 'PD': np.float64(1.5588553240978442)}",4.519348255285168,0.018640641329183538,0.01778072838257337,"{'DD': np.float64(0.6433463223457099), 'MD': np.float64(0.9302591992210925), 'PD': np.float64(0.6641941379409987)}",Sweep_DD20_MD20_PD15,18.333333333333332,5
"[20, 20, 20]",10,"{'DD': np.float64(1.7989057735935245), 'MD': np.float64(1.0560758484492738), 'PD': np.float64(1.7667701925850035)}",4.762927344224141,0.033495791308860295,0.014981165140677188,"{'DD': np.float64(0.6294675414567983), 'MD': np.float64(0.9340735863233647), 'PD': np.float64(0.49509593177317324)}",Sweep_DD20_MD20_PD20,20.0,0
"[20, 20, 30]",10,"{'DD': np.float64(1.9523970261057688), 'MD': np.float64(1.0466183649813727), 'PD': np.float64(1.6796137072780588)}",4.559089422627209,-0.021734831293989447,0.014235216909078807,"{'DD': np.float64(0.6415999047764794), 'MD': np.float64(0.9323582689364521), 'PD': np.float64(0.6422860695198652)}",Sweep_DD20_MD20_PD30,23.333333333333332,10
"[20, 20, 40]",10,"{'DD': np.float64(1.8489042521560246), 'MD': np.float64(1.033762964049223), 'PD': np.float64(1.6263399105154683)}",4.560914762552131,0.01405786694043449,0.012747387497352549,"{'DD': np.float64(0.6206447649370629), 'MD': np.float64(0.934223986905675), 'PD': np.float64(0.7221855934459422)}",Sweep_DD20_MD20_PD40,26.666666666666668,20
