DD_freq,MD_freq,PD_freq,num_pulses,DD_response,MD_response,PD_response,individual_sum,integrated_response,interaction_coefficient,interaction_sem,interaction_std,mean_frequency,n_trials,cv
1,1,1,3,0.5990879929640727,0.7252449555215765,0.9350595161578625,2.259392464643512,2.2099023966054268,-0.018742217635295492,0.01543577199645357,0.08312417612625407,1.0,30,0.2
1,1,5,3,0.5927122452958542,0.7180005864620487,0.7830660888265447,2.0937789205844473,2.1432487021892297,0.02823936687578304,0.016731276555943166,0.09010068168749974,2.3333333333333335,30,0.2
1,1,10,3,0.6245071285312185,0.7063286924367961,0.7508054096413895,2.0816412306094043,2.081223781651532,0.0033977476083793053,0.016470623950627344,0.08869702445046505,4.0,30,0.2
1,1,15,3,0.6018975086641764,0.710947577011366,0.7438125393055871,2.05665762498113,2.10370325516848,0.02517703573404812,0.015255757943840847,0.08215477078533438,5.666666666666667,30,0.2
1,1,20,3,0.5903197620415618,0.7135907221656411,0.631730340809146,1.935640825016349,1.967852261669882,0.02109806588059692,0.0189781866714805,0.10220066296648589,7.333333333333333,30,0.2
1,1,30,3,0.5899078722299685,0.7224086366948183,0.6677521740546131,1.9800686829793999,2.0153077857277584,0.026143996687789706,0.02330804767508201,0.12551767806286485,10.666666666666666,30,0.2
1,1,40,3,0.581450025276136,0.7315385285112558,0.6914206370463536,2.004409190833745,2.001941437335331,0.002794709076839703,0.017482832937390638,0.09414793666344802,14.0,30,0.2
1,5,1,3,0.6194111709768205,0.672920001549563,0.93611278987977,2.228443962406154,2.2183157750604874,0.0004015535001904144,0.01684484457783215,0.0907122642021922,2.3333333333333335,30,0.2
1,5,5,3,0.6019133804292035,0.6776661938712951,0.8246789791883413,2.10425855348884,2.0488268200591873,-0.023317430605329273,0.01758381576705341,0.09469174584387283,3.6666666666666665,30,0.2
1,5,10,3,0.5928216184718197,0.6809511890770736,0.7572394016507779,2.031012209199671,2.0402528155624955,0.010813385063029987,0.019646644374599082,0.10580041786437806,5.333333333333333,30,0.2
1,5,15,3,0.6158692696123446,0.652464905549179,0.7276825782972843,1.9960167534588076,2.004127509508015,0.007561860847457313,0.013730629217376758,0.07394170124123009,7.0,30,0.2
1,5,20,3,0.6136061682355325,0.6781598912200445,0.647195098454272,1.938961157909849,1.9141617848290287,-0.009078699707098827,0.016115721787733604,0.08678581781287376,8.666666666666666,30,0.2
1,5,30,3,0.5869855142680359,0.6777789795764749,0.6684478744281372,1.9332123682726483,1.9406144516222157,0.006603298819669214,0.012623820039463237,0.06798135140811674,12.0,30,0.2
1,5,40,3,0.6292091959620519,0.6627745860121846,0.6945570936250086,1.9865408755992453,1.9390137884074812,-0.020244469104025886,0.014728371477068168,0.07931470774471114,15.333333333333334,30,0.2
1,10,1,3,0.5779665832801222,0.6679751904529208,0.9326393187153709,2.1785810924484137,2.231471698574666,0.028003618496982543,0.018278544492080967,0.09843297452439664,4.0,30,0.2
1,10,5,3,0.5921421712750917,0.6570084204334481,0.8033076588238045,2.0524582505323443,2.0502849942707404,0.0028174144460884148,0.017624157229173702,0.09490899126595137,5.333333333333333,30,0.2
1,10,10,3,0.6005049696439012,0.6514243747274021,0.7387119261043203,1.9906412704756244,2.0265738915346203,0.021117719130450113,0.016740554991077752,0.09015064758985178,7.0,30,0.2
1,10,15,3,0.6039888527329407,0.6696921568773989,0.7592540057625128,2.0329350153728525,2.0059715961910927,-0.009696725436211175,0.015587910155290157,0.0839434651850431,8.666666666666666,30,0.2
1,10,20,3,0.6141335658504045,0.6652043644542068,0.6391006967927325,1.918438627097344,1.9593726810892844,0.02570746014839487,0.016412816159993807,0.08838571997076711,10.333333333333334,30,0.2
1,10,30,3,0.5930186051829689,0.6505601806321393,0.6772953619448238,1.920874147759932,1.960607238801231,0.02427498630362589,0.014739537349245282,0.0793748378066003,13.666666666666666,30,0.2
1,10,40,3,0.6121775987075566,0.6763365550668758,0.7041421719481362,1.9926563257225687,1.977830005381084,-0.005417577694170487,0.011661496867192582,0.06279908252771477,17.0,30,0.2
1,15,1,3,0.583940484373559,0.689209830830315,0.9124131346268546,2.1855634498307293,2.2534468001752788,0.035856948109161894,0.01853117392516263,0.09979342565667434,5.666666666666667,30,0.2
1,15,5,3,0.5753213439631419,0.6568665181496657,0.8132788456264325,2.04546670773924,2.104127076680078,0.032474580643416275,0.01435490754717463,0.0773035429327143,7.0,30,0.2
1,15,10,3,0.6167307791437284,0.6857204681259328,0.7663377530792701,2.0687890003489313,2.050646075385197,-0.004583691075719293,0.016436868159999923,0.08851524395474125,8.666666666666666,30,0.2
1,15,15,3,0.6098675360905029,0.6745227966981356,0.7591506515875327,2.043540984376171,1.9731929950283587,-0.03285371718416153,0.011052480869132648,0.05951943100798051,10.333333333333334,30,0.2
1,15,20,3,0.6124993814011129,0.6887801142276568,0.6229813907644868,1.9242608863932567,1.9380412835150154,0.011841046045676384,0.017097535176878016,0.09207304472326769,12.0,30,0.2
1,15,30,3,0.6038508879427009,0.6958032896769558,0.6830276966809097,1.9826818743005665,1.9705900832983068,-0.0047845945641983335,0.012651551443293744,0.0681306895880772,15.333333333333334,30,0.2
1,15,40,3,0.612985480226616,0.6856965170740571,0.6890654656244599,1.987747462925133,1.915014753892234,-0.03315334220904332,0.01771800648524918,0.09541438497694478,18.666666666666668,30,0.2
1,20,1,3,0.601971610164526,0.7200650994623393,0.9032719327483819,2.2253086423752473,2.2756515402019653,0.027312504333099293,0.01628717446557988,0.0877091187397005,7.333333333333333,30,0.2
