DD_freq,MD_freq,PD_freq,num_pulses,DD_response,MD_response,PD_response,individual_sum,integrated_response,interaction_coefficient,mean_frequency,frequency_range
1,1,1,3,0.5987439980506796,0.7219172947532607,0.9358070631621731,2.2564683559661134,2.2564683559661134,0.0,1.0,0
1,1,5,3,0.5987439980506796,0.7219172947532607,0.7982393963071407,2.118900689111081,2.118900689111081,0.0,2.3333333333333335,4
1,1,10,3,0.5987439980506796,0.7219172947532607,0.7518279407505085,2.0724892335544487,2.072489233554449,2.142781746028286e-16,4.0,9
1,1,15,3,0.5987439980506796,0.7219172947532607,0.7391961947701261,2.0598574875740665,2.0598574875740665,0.0,5.666666666666667,14
1,1,20,3,0.5987439980506796,0.7219172947532607,0.6546094852075748,1.975270778011515,2.0599355233387397,0.04286234893448675,7.333333333333333,19
1,1,30,3,0.5987439980506796,0.7219172947532607,0.6807968647024359,2.0014581575063763,2.072813381476886,0.03565161914721788,10.666666666666666,29
1,1,40,3,0.5987439980506796,0.7219172947532607,0.697594556525659,2.0182558493295994,2.0888241885320924,0.03496501160937227,14.0,39
1,5,1,3,0.5987439980506796,0.6719883797615365,0.9358070631621731,2.206539440974389,2.206539440974389,0.0,2.3333333333333335,4
1,5,5,3,0.5987439980506796,0.6719883797615365,0.7982393963071407,2.0689717741193565,2.0689717741193565,0.0,3.6666666666666665,4
1,5,10,3,0.5987439980506796,0.6719883797615365,0.7518279407505085,2.0225603185627246,2.0225603185627246,0.0,5.333333333333333,9
1,5,15,3,0.5987439980506796,0.6719883797615365,0.7391961947701261,2.009928572582342,2.009928572582342,0.0,7.0,14
1,5,20,3,0.5987439980506796,0.6719883797615365,0.6546094852075748,1.9253418630197907,2.010006608347015,0.04397387651169261,8.666666666666666,19
1,5,30,3,0.5987439980506796,0.6719883797615365,0.6807968647024359,1.9515292425146518,2.0228844664851615,0.03656374827290041,12.0,29
1,5,40,3,0.5987439980506796,0.6719883797615365,0.697594556525659,1.9683269343378749,2.038895273540368,0.03585194002653396,15.333333333333334,39
1,10,1,3,0.5987439980506796,0.6698013138622356,0.9358070631621731,2.2043523750750884,2.204352375075088,-2.014601725529183e-16,4.0,9
1,10,5,3,0.5987439980506796,0.6698013138622356,0.7982393963071407,2.0667847082200557,2.0667847082200557,0.0,5.333333333333333,9
1,10,10,3,0.5987439980506796,0.6698013138622356,0.7518279407505085,2.0203732526634237,2.0203732526634237,0.0,7.0,9
1,10,15,3,0.5987439980506796,0.6698013138622356,0.7391961947701261,2.007741506683041,2.007741506683041,0.0,8.666666666666666,14
1,10,20,3,0.5987439980506796,0.6698013138622356,0.6546094852075748,1.9231547971204899,2.0078195424477143,0.04402388484483499,10.333333333333334,19
1,10,30,3,0.5987439980506796,0.6698013138622356,0.6807968647024359,1.949342176615351,2.0206974005858607,0.036604770997364894,13.666666666666666,29
1,10,40,3,0.5987439980506796,0.6698013138622356,0.697594556525659,1.966139868438574,2.036708207641067,0.03589182048301343,17.0,39
1,15,1,3,0.5987439980506796,0.6801249474760649,0.9358070631621731,2.214676008688918,2.2146760086889175,-2.0052107310855019e-16,5.666666666666667,14
1,15,5,3,0.5987439980506796,0.6801249474760649,0.7982393963071407,2.077108341833885,2.0771083418338847,-2.1380165921339227e-16,7.0,14
1,15,10,3,0.5987439980506796,0.6801249474760649,0.7518279407505085,2.030696886277253,2.0306968862772528,-2.1868808331320336e-16,8.666666666666666,14
1,15,15,3,0.5987439980506796,0.6801249474760649,0.7391961947701261,2.0180651402968706,2.01806514029687,-2.200569253105151e-16,10.333333333333334,14
1,15,20,3,0.5987439980506796,0.6801249474760649,0.6546094852075748,1.9334784307343194,2.0181431760615434,0.043788823284193056,12.0,19
1,15,30,3,0.5987439980506796,0.6801249474760649,0.6807968647024359,1.9596658102291804,2.03102103419969,0.03641193493198968,15.333333333333334,29
1,15,40,3,0.5987439980506796,0.6801249474760649,0.697594556525659,1.9764635020524035,2.047031841254896,0.03570434724912085,18.666666666666668,39
1,20,1,3,0.5987439980506796,0.6945504017189351,0.9358070631621731,2.229101462931788,2.2291014629317876,-1.9922341680489582e-16,7.333333333333333,19
1,20,5,3,0.5987439980506796,0.6945504017189351,0.7982393963071407,2.0915337960767553,2.091533796076755,-2.123270542809653e-16,8.666666666666666,19
1,20,10,3,0.5987439980506796,0.6945504017189351,0.7518279407505085,2.0451223405201233,2.045122340520123,-2.1714554726203819e-16,10.333333333333334,19
1,20,15,3,0.5987439980506796,0.6945504017189351,0.7391961947701261,2.0324905945397407,2.0324905945397407,0.0,12.0,19
1,20,20,3,0.5987439980506796,0.6945504017189351,0.6546094852075748,1.9479038849771895,2.032568630304414,0.043464539487899786,13.666666666666666,19
1,20,30,3,0.5987439980506796,0.6945504017189351,0.6807968647024359,1.9740912644720505,2.0454464884425603,0.036145858732419316,17.0,29
1,20,40,3,0.5987439980506796,0.6945504017189351,0.697594556525659,1.9908889562952736,1.9908889562952738,1.1153038155288222e-16,20.333333333333332,39
1,30,1,3,0.5987439980506796,0.7230521234681168,0.9358070631621731,2.2576031846809697,2.257603184680969,-1.9670826691928967e-16,10.666666666666666,29
1,30,5,3,0.5987439980506796,0.7230521234681168,0.7982393963071407,2.120035517825937,2.120035517825937,0.0,12.0,29
1,30,10,3,0.5987439980506796,0.7230521234681168,0.7518279407505085,2.073624062269305,2.073624062269305,0.0,13.666666666666666,29
1,30,15,3,0.5987439980506796,0.7230521234681168,0.7391961947701261,2.0609923162889223,2.0609923162889223,0.0,15.333333333333334,29
